title,genre,year
Wholly Moses!,Comedy,1980
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",Animation,1980
In God We Trust (or Gimme That Prime Time Religion),Comedy,1980
Roadie,Comedy,1980
Just Tell Me What You Want,Comedy,1980
The Last Flight of Noah's Ark,Adventure,1980
Little Miss Marker,Comedy,1980
Willie & Phil,Comedy,1980
Babylon,Drama,1980
Windwalker,Adventure,1980
Phobia,Drama,1980
Windows,Drama,1980
Loving Couples,Comedy,1980
The King and the Mockingbird,Animation,1980
"Oh, God! Book II",Comedy,1980
"Those Lips, Those Eyes",Comedy,1980
La Cage aux Folles II,Comedy,1980
The Gong Show Movie,Comedy,1980
Gilda Live,Comedy,1980
Why Would I Lie?,Comedy,1980
First Family,Comedy,1980
Mantis Fist Fighter,Action,1980
Indiana Jones and the Raiders of the Lost Ark,Action,1981
Body Heat,Crime,1981
An American Werewolf in London,Comedy,1981
Escape from New York,Action,1981
The Evil Dead,Horror,1981
Porky's,Comedy,1981
Blow Out,Crime,1981
Clash of the Titans,Action,1981
Excalibur,Adventure,1981
Mad Max 2,Action,1981
Das Boot,Adventure,1981
Stripes,Comedy,1981
Possession,Drama,1981
The Cannonball Run,Action,1981
Thief,Action,1981
Endless Love,Drama,1981
Time Bandits,Adventure,1981
The Four Seasons,Comedy,1981
Friday the 13th Part 2,Horror,1981
Scanners,Horror,1981
For Your Eyes Only,Action,1981
Halloween II,Horror,1981
Taps,Drama,1981
Reds,Biography,1981
On Golden Pond,Drama,1981
The Fox and the Hound,Animation,1981
Chariots of Fire,Biography,1981
Absence of Malice,Drama,1981
Tarzan the Ape Man,Adventure,1981
Victory,Drama,1981
Arthur,Comedy,1981
My Dinner with Andre,Biography,1981
Caveman,Comedy,1981
Dead & Buried,Horror,1981
History of the World: Part I,Comedy,1981
The Howling,Horror,1981
Dragonslayer,Action,1981
Cutter's Way,Crime,1981
Quest for Fire,Adventure,1981
The Final Conflict,Horror,1981
Mommie Dearest,Biography,1981
Private Lessons,Comedy,1981
The Postman Always Rings Twice,Crime,1981
Ragtime,Drama,1981
Deadly Blessing,Horror,1981
Eyewitness,Crime,1981
Gallipoli,Adventure,1981
Outland,Action,1981
Southern Comfort,Action,1981
S.O.B.,Comedy,1981
The Beyond,Horror,1981
Ghost Story,Drama,1981
My Bloody Valentine,Horror,1981
The Funhouse,Horror,1981
One from the Heart,Drama,1981
The French Lieutenant's Woman,Drama,1981
The Great Muppet Caper,Adventure,1981
True Confessions,Crime,1981
Looker,Drama,1981
Nighthawks,Action,1981
Nice Dreams,Comedy,1981
Sharky's Machine,Action,1981
Neighbors,Comedy,1981
Puberty Blues,Comedy,1981
Eye of the Needle,Romance,1981
Wolfen,Horror,1981
Student Bodies,Comedy,1981
Prince of the City,Crime,1981
The Hand,Drama,1981
Continental Divide,Comedy,1981
Diva,Music,1981
Venom,Horror,1981
Fort Apache the Bronx,Crime,1981
Eyes of a Stranger,Horror,1981
Zorro: The Gay Blade,Action,1981
Under the Rainbow,Comedy,1981
Carbon Copy,Comedy,1981
The Incredible Shrinking Woman,Comedy,1981
The Night the Lights Went Out in Georgia,Drama,1981
Quartet,Drama,1981
Graduation Day,Horror,1981
Modern Problems,Comedy,1981
Pennies from Heaven,Drama,1981
American Pop,Animation,1981
The Legend of the Lone Ranger,Action,1981
Sphinx,Adventure,1981
Night School,Horror,1981
An Eye for an Eye,Action,1981
Zoot Suit,Drama,1981
Rich and Famous,Drama,1981
Buddy Buddy,Comedy,1981
Bustin' Loose,Comedy,1981
Modern Romance,Comedy,1981
Heartbeeps,Comedy,1981
Back Roads,Adventure,1981
Take This Job and Shove It,Comedy,1981
Raggedy Man,Drama,1981
Whose Life Is It Anyway?,Comedy,1981
Inchon,Drama,1981
All Night Long,Comedy,1981
The Pursuit of D.B. Cooper,Adventure,1981
Rollover,Drama,1981
Only When I Laugh,Comedy,1981
Honky Tonk Freeway,Action,1981
Paternity,Comedy,1981
King of the Mountain,Action,1981
Scream,Horror,1981
The Devil and Max Devlin,Comedy,1981
The Amateur,Crime,1981
Longshot,Comedy,1981
Comin' at Ya!,Western,1981
Le Pont du Nord,Adventure,1981
Silence of the North,Drama,1981
Fast Times at Ridgemont High,Comedy,1982
Blade Runner,Action,1982
The Thing,Horror,1982
Conan the Barbarian,Action,1982
E.T. the Extra-Terrestrial,Family,1982
First Blood,Action,1982
An Officer and a Gentleman,Drama,1982
Grease 2,Comedy,1982
Annie,Comedy,1982
Poltergeist,Horror,1982
48 Hrs.,Action,1982
Star Trek II: The Wrath of Khan,Action,1982
Paradise,Adventure,1982
The Last American Virgin,Comedy,1982
Sophie's Choice,Drama,1982
Gandhi,Biography,1982
Tootsie,Comedy,1982
Tron,Action,1982
The Secret of NIMH,Animation,1982
The King of Comedy,Comedy,1982
Rocky III,Drama,1982
The Beastmaster,Action,1982
Creepshow,Comedy,1982
The Man from Snowy River,Adventure,1982
Pink Floyd: The Wall,Drama,1982
Cat People,Fantasy,1982
Fanny and Alexander,Drama,1982
Friday the 13th Part III,Horror,1982
Firefox,Action,1982
Halloween III: Season of the Witch,Horror,1982
The Dark Crystal,Adventure,1982
The Verdict,Drama,1982
Pieces,Horror,1982
Zapped!,Comedy,1982
Six Pack,Comedy,1982
The World According to Garp,Comedy,1982
Diner,Comedy,1982
The Best Little Whorehouse in Texas,Comedy,1982
The Year of Living Dangerously,Drama,1982
Night Shift,Comedy,1982
Summer Lovers,Comedy,1982
Victor Victoria,Comedy,1982
The Last Unicorn,Animation,1982
The Entity,Drama,1982
Airplane II: the Sequel,Comedy,1982
The Toy,Comedy,1982
The House on Sorority Row,Horror,1982
Evil Under the Sun,Crime,1982
The Sword and the Sorcerer,Action,1982
Death Wish II,Action,1982
Silent Rage,Action,1982
Megaforce,Action,1982
Personal Best,Drama,1982
Dead Men Don't Wear Plaid,Comedy,1982
Amityville II: The Possession,Horror,1982
Missing,Biography,1982
Frances,Biography,1982
The Seduction,Thriller,1982
Cannery Row,Comedy,1982
Deathtrap,Comedy,1982
Tex,Drama,1982
Time Walker,Horror,1982
"I, the Jury",Crime,1982
Tempest,Comedy,1982
Young Doctors in Love,Comedy,1982
My Favorite Year,Comedy,1982
Still of the Night,Crime,1982
Parasite,Horror,1982
Making Love,Drama,1982
Honkytonk Man,Comedy,1982
The Beast Within,Horror,1982
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",Comedy,1982
The Final Option,Action,1982
Trail of the Pink Panther,Comedy,1982
The Sender,Drama,1982
The Border,Crime,1982
Kiss Me Goodbye,Comedy,1982
A Midsummer Night's Sex Comedy,Comedy,1982
Vice Squad,Action,1982
Best Friends,Comedy,1982
Shoot the Moon,Drama,1982
Lookin' to Get Out,Comedy,1982
Barbarosa,Western,1982
Visiting Hours,Horror,1982
A Little Sex,Comedy,1982
Class Reunion,Comedy,1982
Hanky Panky,Action,1982
Author! Author!,Comedy,1982
Split Image,Drama,1982
The Challenge,Action,1982
The Soldier,Action,1982
Wrong Is Right,Comedy,1982
Six Weeks,Drama,1982
The State of Things,Drama,1982
Jekyll and Hyde... Together Again,Sci-Fi,1982
Forced Vengeance,Action,1982
The Missionary,Comedy,1982
The Escape Artist,Comedy,1982
Night Crossing,Drama,1982
Endangered Species,Drama,1982
Things Are Tough All Over,Action,1982
Homework,Comedy,1982
Jinxed!,Comedy,1982
The Return of Martin Guerre,Biography,1982
They Call Me Bruce,Action,1982
Some Kind of Hero,Comedy,1982
Hammett,Crime,1982
Five Days One Summer,Drama,1982
Penitentiary II,Crime,1982
If You Could See What I Hear,Biography,1982
Partners,Comedy,1982
Richard Pryor: Live on the Sunset Strip,Comedy,1982
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,Animation,1982
Monsignor,Crime,1982
"Yes, Giorgio",Comedy,1982
I Ought to Be in Pictures,Comedy,1982
La traviata,Drama,1982
Fighting Back,Action,1982
Kamikaze 89,Sci-Fi,1982
The Wizard of Oz,Animation,1982
Heidi's Song,Animation,1982
Love Child,Crime,1982
Boardinghouse,Comedy,1982
Experience Preferred... But Not Essential,Drama,1982
The Personals,Comedy,1982
Lonely Hearts,Comedy,1982
Scarface,Crime,1983
The Outsiders,Crime,1983
Star Wars: Episode VI - Return of the Jedi,Action,1983
Risky Business,Comedy,1983
National Lampoon's Vacation,Adventure,1983
Trading Places,Comedy,1983
Superman III,Action,1983
The Big Chill,Comedy,1983
Staying Alive,Drama,1983
Jaws 3-D,Adventure,1983
Christine,Horror,1983
Sleepaway Camp,Horror,1983
Flashdance,Drama,1983
WarGames,Action,1983
The Right Stuff,Adventure,1983
Krull,Action,1983
Spring Break,Comedy,1983
The Dead Zone,Drama,1983
Octopussy,Action,1983
Private School,Comedy,1983
Valley Girl,Comedy,1983
Rumble Fish,Crime,1983
Videodrome,Horror,1983
Terms of Endearment,Comedy,1983
Twilight Zone: The Movie,Horror,1983
Never Say Never Again,Action,1983
A Christmas Story,Comedy,1983
Cujo,Horror,1983
Sudden Impact,Action,1983
The Hunger,Drama,1983
Mr. Mom,Comedy,1983
Blue Thunder,Action,1983
Breathless,Action,1983
Psycho II,Crime,1983
Local Hero,Comedy,1983
Bad Boys,Crime,1983
Silkwood,Biography,1983
All the Right Moves,Drama,1983
The Keep,Drama,1983
My Tutor,Comedy,1983
Yentl,Drama,1983
Fire and Ice,Animation,1983
Eddie and the Cruisers,Drama,1983
Yellowbeard,Action,1983
The Meaning of Life,Comedy,1983
Nostalghia,Drama,1983
Hot Dog... The Movie,Comedy,1983
Smokey and the Bandit Part 3,Action,1983
Deathstalker,Action,1983
Porky's II: The Next Day,Comedy,1983
Something Wicked This Way Comes,Fantasy,1983
Tender Mercies,Drama,1983
Star 80,Biography,1983
Gorky Park,Crime,1983
Lone Wolf McQuade,Action,1983
Easy Money,Comedy,1983
Merry Christmas Mr. Lawrence,Drama,1983
Losin' It,Comedy,1983
Screwballs,Comedy,1983
Brainstorm,Sci-Fi,1983
The Man with Two Brains,Comedy,1983
Angel,Action,1983
10 to Midnight,Crime,1983
Uncommon Valor,Action,1983
Doctor Detroit,Comedy,1983
Mortuary,Horror,1983
Stroker Ace,Action,1983
Sahara,Adventure,1983
Two of a Kind,Comedy,1983
Chained Heat,Action,1983
Spacehunter: Adventures in the Forbidden Zone,Action,1983
High Road to China,Adventure,1983
Never Cry Wolf,Adventure,1983
The Pirates of Penzance,Comedy,1983
Rock & Rule,Animation,1983
Hercules,Adventure,1983
Educating Rita,Comedy,1983
A Night in Heaven,Drama,1983
Under Fire,Drama,1983
Amityville 3-D,Horror,1983
Testament,Drama,1983
The Osterman Weekend,Action,1983
Revenge of the Ninja,Action,1983
Zelig,Comedy,1983
Independence Day,Drama,1983
Escape from the Bronx,Action,1983
To Be or Not to Be,Comedy,1983
Eureka,Drama,1983
The Wicked Lady,Adventure,1983
Still Smokin,Comedy,1983
"Yor, the Hunter from the Future",Action,1983
Of Unknown Origin,Horror,1983
Curse of the Pink Panther,Comedy,1983
D.C. Cab,Action,1983
Beyond the Limit,Drama,1983
The Survivors,Comedy,1983
The Lonely Lady,Drama,1983
The Star Chamber,Crime,1983
The Dresser,Drama,1983
The Lords of Discipline,Thriller,1983
Cross Creek,Biography,1983
The Man Who Loved Women,Comedy,1983
Nightmares,Horror,1983
Deal of the Century,Comedy,1983
Eddie Macon's Run,Action,1983
Max Dugan Returns,Comedy,1983
The Sting II,Comedy,1983
Baby It's You,Comedy,1983
Heat and Dust,Drama,1983
Going Berserk,Comedy,1983
Daniel,Drama,1983
Heart Like a Wheel,Biography,1983
Love Letters,Drama,1983
Get Crazy,Comedy,1983
Nate and Hayes,Action,1983
Strange Invaders,Horror,1983
The Black Stallion Returns,Adventure,1983
Metalstorm: the Destruction of Jared-Syn,Action,1983
Getting It on,Comedy,1983
Lianna,Drama,1983
Better Late Than Never,Comedy,1983
Lovesick,Comedy,1983
Running Brave,Biography,1983
Exposed,Drama,1983
Trenchcoat,Comedy,1983
Stryker,Action,1983
The Man Who Wasn't There,Action,1983
Table for Five,Drama,1983
Romantic Comedy,Comedy,1983
Young Warriors,Action,1983
"Man, Woman and Child",Drama,1983
Hanna K.,Drama,1983
Slayground,Crime,1983
White Star,Drama,1983
Richard Pryor... Here and Now,Comedy,1983
Deadly Force,Action,1983
My Brother's Wedding,Drama,1983
Blue Skies Again,Comedy,1983
Last Plane Out,Action,1983
Cross Country,Thriller,1983
A Polish Vampire in Burbank,Comedy,1983
Forever Young,Drama,1983
The Golden Seal,Drama,1983
The Business of Show Business,History,1983
The Terminator,Action,1984
Dune,Action,1984
Ghostbusters,Action,1984
The Karate Kid,Action,1984
Once Upon a Time in America,Crime,1984
Police Academy,Comedy,1984
Indiana Jones and the Temple of Doom,Action,1984
Body Double,Crime,1984
A Nightmare on Elm Street,Horror,1984
Amadeus,Biography,1984
Beverly Hills Cop,Action,1984
Red Dawn,Action,1984
The NeverEnding Story,Adventure,1984
Footloose,Drama,1984
Revenge of the Nerds,Comedy,1984
Gremlins,Comedy,1984
Romancing the Stone,Action,1984
Streets of Fire,Action,1984
Sixteen Candles,Comedy,1984
"Paris, Texas",Drama,1984
This Is Spinal Tap,Comedy,1984
1984,Drama,1984
Top Secret!,Comedy,1984
Conan the Destroyer,Action,1984
Children of the Corn,Horror,1984
The Last Starfighter,Action,1984
Splash,Comedy,1984
Blood Simple,Crime,1984
The Natural,Drama,1984
Bachelor Party,Comedy,1984
Nausicaä of the Valley of the Wind,Animation,1984
Friday the 13th: the Final Chapter,Horror,1984
Hardbodies,Comedy,1984
Against All Odds,Action,1984
Supergirl,Action,1984
The Bounty,Adventure,1984
Firestarter,Action,1984
C.H.U.D.,Horror,1984
The Woman in Red,Comedy,1984
Runaway,Action,1984
The Adventures of Buckaroo Banzai Across the 8th Dimension,Adventure,1984
Star Trek III: The Search for Spock,Action,1984
Repo Man,Action,1984
2010: the Year We Make Contact,Adventure,1984
The Killing Fields,Biography,1984
The Cotton Club,Crime,1984
Starman,Romance,1984
Night of the Comet,Comedy,1984
Blame It on Rio,Comedy,1984
Dreamscape,Action,1984
Crimes of Passion,Drama,1984
The Philadelphia Experiment,Adventure,1984
Places in the Heart,Drama,1984
Bolero,Comedy,1984
Cannonball Run II,Action,1984
Stranger Than Paradise,Comedy,1984
The Ice Pirates,Action,1984
A Passage to India,Adventure,1984
Purple Rain,Drama,1984
The Hotel New Hampshire,Comedy,1984
The Hit,Crime,1984
Sheena,Adventure,1984
Missing in Action,Action,1984
"Greystoke: The Legend of Tarzan, Lord of the Apes",Adventure,1984
The Muppets Take Manhattan,Adventure,1984
The Wild Life,Comedy,1984
Falling in Love,Drama,1984
Gwendoline,Action,1984
Breakin',Comedy,1984
Birdy,Drama,1984
The Company of Wolves,Drama,1984
Ghoulies,Comedy,1984
Electric Dreams,Comedy,1984
Cloak & Dagger,Action,1984
Racing with the Moon,Comedy,1984
"Silent Night, Deadly Night",Horror,1984
The Pope of Greenwich Village,Action,1984
All of Me,Comedy,1984
"Grandview, U.S.A.",Drama,1984
Where the Boys Are,Comedy,1984
Reckless,Comedy,1984
Tightrope,Crime,1984
Rhinestone,Comedy,1984
The Flamingo Kid,Comedy,1984
Up the Creek,Comedy,1984
Swing Shift,Drama,1984
Beat Street,Drama,1984
Joy of Sex,Comedy,1984
Breakin' 2: Electric Boogaloo,Comedy,1984
The Razor's Edge,Drama,1984
Tank,Action,1984
Moscow on the Hudson,Comedy,1984
Ninja III: The Domination,Action,1984
The Warrior and the Sorceress,Adventure,1984
The Evil That Men Do,Action,1984
Firstborn,Drama,1984
Cut and Run,Adventure,1984
Teachers,Comedy,1984
Repentance,Drama,1984
The River,Drama,1984
Razorback,Horror,1984
A Soldier's Story,Crime,1984
Comfort and Joy,Comedy,1984
Meatballs Part II,Comedy,1984
Lassiter,Action,1984
Irreconcilable Differences,Comedy,1984
City Heat,Action,1984
Under the Volcano,Drama,1984
Iceman,Drama,1984
Flashpoint,Action,1984
The Little Drummer Girl,Drama,1984
Lust in the Dust,Comedy,1984
Hot Moves,Comedy,1984
Oxford Blues,Comedy,1984
Thief of Hearts,Crime,1984
The Brother from Another Planet,Comedy,1984
No Small Affair,Comedy,1984
Broadway Danny Rose,Comedy,1984
Best Defense,Comedy,1984
Micki + Maude,Comedy,1984
Protocol,Comedy,1984
Exterminator 2,Action,1984
American Dreamer,Comedy,1984
The Lonely Guy,Comedy,1984
Choose Me,Comedy,1984
Making the Grade,Comedy,1984
Full Moon in Paris,Comedy,1984
Unfaithfully Yours,Comedy,1984
Impulse,Horror,1984
Mrs. Soffel,Drama,1984
Garbo Talks,Comedy,1984
Country,Drama,1984
Cheech & Chong's the Corsican Brothers,Comedy,1984
Purple Hearts,Drama,1984
Give My Regards to Broad Street,Drama,1984
Songwriter,Drama,1984
Finders Keepers,Comedy,1984
The Bostonians,Drama,1984
Body Rock,Drama,1984
The River Rat,Adventure,1984
Just the Way You Are,Comedy,1984
Until September,Drama,1984
Crackers,Adventure,1984
Kaos,Comedy,1984
Misunderstood,Drama,1984
Mike's Murder,Drama,1984
The Buddy System,Drama,1984
A Private Function,Comedy,1984
Scandalous,Comedy,1984
"Oh, God! You Devil",Comedy,1984
The Bay Boy,Drama,1984
Heavenly Bodies,Drama,1984
Heartbreakers,Drama,1984
Champions,Biography,1984
A Sunday in the Country,Drama,1984
Mass Appeal,Drama,1984
Windy City,Drama,1984
Lovelines,Comedy,1984
The Bear,Biography,1984
Weekend Pass,Comedy,1984
Over the Brooklyn Bridge,Comedy,1984
Fast Talking,Drama,1984
Lily in Love,Comedy,1984
Winter Flight,Drama,1984
Almost You,Comedy,1984
The Adventures of Pinocchio,Animation,1984
Blame It on the Night,Comedy,1984
Petit Con,Comedy,1984
Weird Science,Comedy,1985
The Goonies,Adventure,1985
Back to the Future,Adventure,1985
To Live and Die in L.A.,Action,1985
Clue,Comedy,1985
The Breakfast Club,Comedy,1985
Cocoon,Comedy,1985
Rambo: First Blood Part II,Action,1985
Mask,Biography,1985
Legend,Adventure,1985
The Return of the Living Dead,Comedy,1985
St. Elmo's Fire,Drama,1985
Brazil,Drama,1985
Pale Rider,Drama,1985
Teen Wolf,Comedy,1985
Real Genius,Comedy,1985
Commando,Action,1985
Witness,Crime,1985
The Color Purple,Drama,1985
Silverado,Action,1985
Rocky IV,Drama,1985
Better Off Dead...,Comedy,1985
Ran,Action,1985
Ladyhawke,Adventure,1985
A Room with a View,Drama,1985
Red Sonja,Action,1985
Fright Night,Fantasy,1985
Explorers,Adventure,1985
Flesh+Blood,Adventure,1985
Mad Max Beyond Thunderdome,Action,1985
After Hours,Comedy,1985
A View to a Kill,Action,1985
Fletch,Comedy,1985
Perfect,Drama,1985
A Nightmare on Elm Street 2: Freddy's Revenge,Horror,1985
Summer Rental,Comedy,1985
Lifeforce,Action,1985
Pee-wee's Big Adventure,Adventure,1985
Out of Africa,Biography,1985
Day of the Dead,Horror,1985
Just One of the Guys,Comedy,1985
National Lampoon's European Vacation,Adventure,1985
Spies Like Us,Adventure,1985
House,Comedy,1985
Police Academy 2: Their First Assignment,Comedy,1985
The Black Cauldron,Animation,1985
Friday the 13th: A New Beginning,Horror,1985
Runaway Train,Action,1985
Re-Animator,Comedy,1985
Brewster's Millions,Comedy,1985
The Last Dragon,Action,1985
The Legend of Billie Jean,Action,1985
Desperately Seeking Susan,Comedy,1985
Girls Just Want to Have Fun,Comedy,1985
Vision Quest,Drama,1985
Jagged Edge,Drama,1985
Enemy Mine,Action,1985
Tuff Turf,Action,1985
Volunteers,Adventure,1985
The Jewel of the Nile,Action,1985
Once Bitten,Comedy,1985
Private Resort,Comedy,1985
Police Story,Action,1985
Into the Night,Action,1985
The Sure Thing,Comedy,1985
White Nights,Drama,1985
Mischief,Comedy,1985
Silver Bullet,Horror,1985
Kiss of the Spider Woman,Drama,1985
My Beautiful Laundrette,Comedy,1985
Young Sherlock Holmes,Adventure,1985
Smooth Talk,Drama,1985
Porky's Revenge,Comedy,1985
Year of the Dragon,Action,1985
Prizzi's Honor,Comedy,1985
The Quiet Earth,Drama,1985
Tampopo,Comedy,1985
Creature,Horror,1985
Secret Admirer,Comedy,1985
"No Retreat, No Surrender",Action,1985
D.A.R.Y.L.,Family,1985
Mishima: A Life in Four Chapters,Biography,1985
A Chorus Line,Drama,1985
Cat's Eye,Comedy,1985
Murphy's Romance,Comedy,1985
Heaven Help Us,Comedy,1985
American Flyers,Drama,1985
The Journey of Natty Gann,Adventure,1985
Trouble in Mind,Comedy,1985
Fandango,Comedy,1985
Gotcha!,Action,1985
Death Wish 3,Action,1985
King Solomon's Mines,Action,1985
American Warrior,Action,1985
The Emerald Forest,Action,1985
The Holcroft Covenant,Action,1985
The Falcon and the Snowman,Biography,1985
Transylvania 6-5000,Comedy,1985
Desert Hearts,Drama,1985
The Heavenly Kid,Comedy,1985
The Purple Rose of Cairo,Comedy,1985
The Man with One Red Shoe,Comedy,1985
My Life as a Dog,Drama,1985
My Science Project,Action,1985
Seven Minutes in Heaven,Comedy,1985
Fraternity Vacation,Comedy,1985
The New Kids,Crime,1985
Tomboy,Comedy,1985
Invasion U.S.A.,Action,1985
Revolution,Adventure,1985
Lost in America,Comedy,1985
Subway,Thriller,1985
Moving Violations,Comedy,1985
Nomads,Horror,1985
Fool for Love,Drama,1985
Baby: Secret of the Lost Legend,Adventure,1985
Code of Silence,Action,1985
Crimewave,Comedy,1985
Gymkata,Action,1985
Sweet Dreams,Biography,1985
The Slugger's Wife,Comedy,1985
Avenging Angel,Action,1985
Santa Claus: The Movie,Adventure,1985
That Was Then... This Is Now,Crime,1985
Agnes of God,Drama,1985
Rustlers' Rhapsody,Comedy,1985
The Adventures of Mark Twain,Animation,1985
Stick,Action,1985
The Bride,Fantasy,1985
Morons from Outer Space,Comedy,1985
Godzilla 1985,Action,1985
Plenty,Drama,1985
King David,Adventure,1985
The Trip to Bountiful,Drama,1985
Missing in Action 2: The Beginning,Action,1985
The Protector,Action,1985
The Mean Season,Crime,1985
Turk 182,Comedy,1985
The Official Story,Drama,1985
Krush Groove,Comedy,1985
He-Man and She-Ra: The Secret of the Sword,Animation,1985
Warning Sign,Drama,1985
Creator,Comedy,1985
Taipei Story,Drama,1985
Otac na sluzbenom putu,Drama,1985
The Aviator,Adventure,1985
Starchaser: The Legend of Orin,Animation,1985
Maxie,Comedy,1985
DEFCON-4,Action,1985
The Care Bears Movie,Animation,1985
Sylvester,Drama,1985
Radioactive Dreams,Action,1985
Twice in a Lifetime,Drama,1985
Dance with a Stranger,Biography,1985
Water,Adventure,1985
One Magic Christmas,Family,1985
Echo Park,Comedy,1985
O.C. and Stiggs,Comedy,1985
The Good Father,Drama,1985
Fever Pitch,Drama,1985
The Doctor and the Devils,Crime,1985
Head Office,Comedy,1985
Eleni,Drama,1985
Dreamchild,Biography,1985
Defense of the Realm,Thriller,1985
Bad Medicine,Comedy,1985
Wetherby,Drama,1985
Compromising Positions,Comedy,1985
Rainbow Brite and the Star Stealer,Animation,1985
Alamo Bay,Action,1985
Three Men and a Cradle,Comedy,1985
In the Shadow of Kilimanjaro,Action,1985
Rappin',Drama,1985
Bal na vodi,Drama,1985
Certain Fury,Action,1985
Bliss,Comedy,1985
Code Name: Emerald,Action,1985
Colonel Redl,Biography,1985
Thunder Run,Action,1985
Marie,Biography,1985
Movers & Shakers,Comedy,1985
La Cage aux Folles 3: The Wedding,Comedy,1985
James Joyce's Women,Drama,1985
Turtle Diary,Comedy,1985
Maccheroni,Comedy,1985
My Man Adam,Comedy,1985
Sudden Death,Action,1985
One Woman or Two,Comedy,1985
Joshua Then and Now,Comedy,1985
On the Edge,Drama,1985
The Girl in the Picture,Comedy,1985
Here Come the Littles,Animation,1985
Came a Hot Friday,Adventure,1985
Wuthering Heights,Drama,1985
The Frog Prince,Comedy,1985
Lune de miel,Thriller,1985
Tea in the Harem,Drama,1985
Mr. Love,Comedy,1985
Death of an Angel,Drama,1985
Sincerely Charlotte,Drama,1985
Top Gun,Action,1986
Aliens,Action,1986
Stand by Me,Adventure,1986
Ferris Bueller's Day Off,Comedy,1986
Crocodile Dundee,Action,1986
Labyrinth,Adventure,1986
Highlander,Action,1986
Big Trouble in Little China,Action,1986
Pretty in Pink,Comedy,1986
Platoon,Drama,1986
Blue Velvet,Drama,1986
Manhunter,Crime,1986
Howard the Duck,Action,1986
The Fly,Drama,1986
Little Shop of Horrors,Comedy,1986
The Mosquito Coast,Adventure,1986
The Karate Kid Part II,Action,1986
River's Edge,Crime,1986
9½ Weeks,Drama,1986
The Golden Child,Action,1986
Star Trek IV: The Voyage Home,Action,1986
Short Circuit,Comedy,1986
The Delta Force,Action,1986
The Name of the Rose,Crime,1986
The Wraith,Action,1986
The Color of Money,Drama,1986
Hoosiers,Drama,1986
Heartbreak Ridge,Drama,1986
Flight of the Navigator,Adventure,1986
Cobra,Action,1986
Peggy Sue Got Married,Comedy,1986
The Mission,Adventure,1986
Working Girls,Drama,1986
Youngblood,Drama,1986
Three Amigos!,Comedy,1986
Maximum Overdrive,Action,1986
Lucas,Comedy,1986
Friday the 13th Part VI: Jason Lives,Horror,1986
The Money Pit,Comedy,1986
Back to School,Comedy,1986
Betty Blue,Drama,1986
About Last Night,Comedy,1986
Critters,Comedy,1986
The Texas Chainsaw Massacre 2,Comedy,1986
Iron Eagle,Action,1986
One Crazy Summer,Comedy,1986
From Beyond,Horror,1986
Sid and Nancy,Biography,1986
Henry: Portrait of a Serial Killer,Biography,1986
Mona Lisa,Crime,1986
Police Academy 3: Back in Training,Comedy,1986
Night of the Creeps,Comedy,1986
